Timestamp,Type of Exercise,Who are you?,Time,Distance (in miles),What kind of Calisthenics?,How many?,How many stairs?,Stairmaster time?,Elliptical time?,Weights Time,General Cardio Time:,Comments:,Steps,Walking Distance (in miles),How Long?
3/8/2015 21:44:47,Other Cardio,Vivek,,,,,,,,,0:07:00,7 min workout challenju,,,
3/8/2015 21:45:09,Other Cardio,Vivek,,,,,,,,,0:02:00,"planking drills - middle, left, right",,,
3/8/2015 22:18:03,Yoga,AP,,,,,,,,,,,,,0:28:00
3/8/2015 22:34:39,Yoga,Vivek,,,,,,,,,,,,,0:32:00
3/8/2015 23:59:03,Other Cardio,AP,,,,,,,,,0:07:00,7 min workout,,,
3/9/2015 23:59:25,Yoga,Vivek,,,,,,,,,,,,,0:30:00
3/11/2015 0:13:19,Other Cardio,Vivek,,,,,,,,,0:12:00,7 min workout challenju + core/pushup drills,,,
3/11/2015 0:13:50,Yoga,Vivek,,,,,,,,,,,,,0:28:00
3/11/2015 23:06:33,Other Cardio,AT,,,,,,,,,0:34:00,Bowling! BOOM! ,,,
3/11/2015 23:25:46,Run,Vivek,0:26:32,3.5,,,,,,,,,,,
3/11/2015 23:26:48,Other Cardio,Vivek,,,,,,,,,0:34:00,bowling - 9 games,,,
3/12/2015 0:23:43,Yoga,Vivek,,,,,,,,,,,,,0:16:00
3/12/2015 19:30:26,Weights,Vivek,,,,,,,,0:30:00,,,,,
3/12/2015 19:30:36,Yoga,Vivek,,,,,,,,,,,,,0:16:00
3/14/2015 10:47:33,Other Cardio,AP,,,,,,,,,1:30:00,Tennis + Kayak Polo,,,
3/14/2015 13:31:53,Bike,AP,0:28:22,5.4,,,,,,,,,,,
3/14/2015 23:23:53,Bike,AP,0:19:54,5.7,,,,,,,,,,,
3/15/2015 23:39:42,Yoga,Vivek,,,,,,,,,,,,,0:22:00
3/16/2015 23:19:00,Other Cardio,Vivek,,,,,,,,,0:30:00,league basketball game,,,
3/16/2015 23:22:27,Yoga,Vivek,,,,,,,,,,,,,0:25:00
3/17/2015 0:50:51,Other Cardio,AP,,,,,,,,,1:00:00,Kayak Polo for 2 hours,,,
3/17/2015 22:06:35,Run,AP,0:23:56,3.1,,,,,,,,,,,
3/17/2015 22:24:17,Run,Vivek,0:35:24,4.5,,,,,,,,,,,
3/17/2015 23:06:21,Yoga,Vivek,,,,,,,,,,,,,0:24:00
3/18/2015 19:56:52,Run,AP,0:16:06,2.2,,,,,,,,,,,
3/18/2015 22:25:20,Elliptical,Anusha,,,,,,,1:00:00,,,,,,
3/18/2015 22:26:03,Yoga,Anusha,,,,,,,,,,,,,0:48:00
3/19/2015 0:16:03,Run,Vivek,0:23:46,3.2,,,,,,,,,,,
3/20/2015 0:09:10,Yoga,Vivek,,,,,,,,,,,,,0:20:00
3/21/2015 12:24:48,Yoga,Vivek,,,,,,,,,,,,,0:14:00
3/21/2015 21:13:23,Run,Vivek,0:44:30,5.6,,,,,,,,,,,
3/21/2015 21:28:29,Bike,AP,0:30:30,7.8,,,,,,,,,,,
3/21/2015 21:29:24,Bike,AP,0:29:38,7.3,,,,,,,,,,,
3/21/2015 23:14:03,Yoga,Anusha,,,,,,,,,,,,,0:48:00
3/21/2015 23:14:25,Elliptical,Anusha,,,,,,,0:45:00,,,,,,
3/21/2015 23:15:41,Weights,Anusha,,,,,,,,0:40:00,,,,,
3/22/2015 14:58:56,Other Cardio,Vivek,,,,,,,,,1:25:00,pickup basketball - 5 games + shootaround,,,
3/22/2015 20:51:16,Yoga,Vivek,,,,,,,,,,,,,0:26:00
3/22/2015 22:19:57,Weights,Anand,,,,,,,,4:30:00,,,,,
3/22/2015 22:21:20,Run,Anand,0:35:00,3.5,,,,,,,,,,,
3/23/2015 14:29:55,Walking,Alekhya,,,,,,,,,,,,5.5,
3/23/2015 19:45:53,Bike,Laxmi,0:22:00,6.21,,,,,,,,,,,
3/23/2015 19:46:36,Elliptical,Laxmi,,,,,,,1:06:00,,,,,,
3/23/2015 19:47:01,Weights,Laxmi,,,,,,,,0:15:00,,,,,
3/24/2015 11:22:56,Bike,AP,0:27:16,5,,,,,,,,,,,
3/24/2015 19:25:36,Bike,Laxmi,0:22:00,6.51,,,,,,,,,,,
3/24/2015 19:25:54,Elliptical,Laxmi,,,,,,,0:33:00,,,,,,
3/24/2015 20:10:15,Stairmaster,Laxmi,,,,,47,0:16:00,,,,,,,
